min_len: 60; max_len: 101; avg_len: 100.05; 38 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
ALL	2413139	24.9	25.1	25.4	24.6	0.0	37.1	30.5	0.5	99.5
1	24119	26.7	28.1	29.2	16.0	0.0	33.5	30.9	0.4	99.6
2	24119	27.4	19.9	26.5	26.2	0.0	33.6	32.1	0.4	99.6
3	24119	25.8	24.9	22.7	26.5	0.0	33.7	31.8	0.3	99.7
4	24119	25.8	24.5	24.4	25.4	0.0	36.8	34.5	0.2	99.8
5	24119	25.4	24.3	26.0	24.3	0.0	36.8	35.0	0.2	99.8
6	24119	26.0	26.1	23.9	24.0	0.0	36.8	34.9	0.2	99.8
7	24119	25.7	23.1	26.0	25.2	0.0	36.8	35.4	0.2	99.8
8	24119	25.3	25.8	22.8	26.1	0.0	36.8	35.2	0.2	99.8
9	24119	24.3	25.6	23.8	26.3	0.0	38.7	35.9	0.2	99.8
10	24119	25.1	24.5	26.0	24.4	0.0	38.7	36.5	0.1	99.9
11	24119	25.4	24.4	24.4	25.7	0.0	38.6	36.1	0.2	99.8
12	24119	24.4	24.8	25.2	25.6	0.0	38.6	36.3	0.2	99.8
13	24119	25.3	24.7	25.2	24.8	0.0	38.6	35.7	0.2	99.8
14	24119	25.3	24.9	24.3	25.5	0.0	40.2	36.3	0.2	99.8
15	24119	25.3	25.0	24.5	25.2	0.0	40.2	35.9	0.3	99.7
16	24119	24.8	24.7	25.7	24.8	0.0	40.2	37.3	0.2	99.8
17	24119	25.2	24.8	25.3	24.7	0.0	40.2	36.1	0.2	99.8
18	24119	24.9	25.4	24.9	24.8	0.0	40.2	36.8	0.2	99.8
19	24119	25.0	25.3	25.3	24.4	0.0	40.2	36.1	0.3	99.7
20	24119	25.4	25.1	24.8	24.8	0.0	40.2	36.2	0.2	99.8
21	24119	24.4	24.8	25.7	25.1	0.0	40.2	35.8	0.3	99.7
22	24119	24.9	25.3	25.2	24.5	0.0	40.1	36.0	0.3	99.7
23	24119	25.3	24.7	24.7	25.4	0.0	40.1	36.5	0.2	99.8
24	24119	25.2	25.1	25.1	24.7	0.0	40.1	36.9	0.2	99.8
25	24119	24.8	24.9	25.9	24.4	0.0	40.0	36.2	0.2	99.8
