min_len: 60; max_len: 101; avg_len: 100.05; 38 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
26	24119	25.2	24.6	25.1	25.1	0.0	40.0	35.7	0.2	99.8
27	24119	24.3	25.4	25.1	25.1	0.0	39.9	34.4	0.3	99.7
28	24119	25.0	24.6	25.8	24.5	0.0	39.9	35.6	0.2	99.8
29	24119	25.2	24.8	25.0	25.0	0.0	39.8	34.5	0.3	99.7
30	24119	24.9	24.8	25.3	25.0	0.0	39.8	34.5	0.3	99.7
31	24119	25.0	25.0	25.5	24.5	0.0	39.7	34.8	0.3	99.7
32	24119	25.1	24.7	24.8	25.3	0.0	39.7	35.2	0.3	99.7
33	24119	24.7	24.9	25.4	25.0	0.0	39.6	34.7	0.3	99.7
34	24119	24.9	25.3	25.3	24.5	0.0	39.5	33.2	0.4	99.6
35	24119	24.5	24.8	25.4	25.2	0.0	39.4	33.4	0.3	99.7
36	24119	24.6	25.5	25.4	24.4	0.0	39.3	32.9	0.4	99.6
37	24119	25.0	25.2	25.5	24.4	0.0	39.3	34.0	0.4	99.6
38	24119	24.7	24.8	25.7	24.8	0.0	39.3	34.0	0.3	99.7
39	24119	24.4	25.4	25.5	24.6	0.0	39.2	34.0	0.3	99.7
40	24119	25.0	25.1	25.4	24.5	0.0	39.1	33.0	0.4	99.6
41	24119	25.1	24.7	25.4	24.8	0.0	39.0	32.3	0.4	99.6
42	24119	24.4	25.8	25.1	24.7	0.0	38.9	32.9	0.4	99.6
43	24119	24.7	25.6	25.6	24.1	0.0	38.9	33.7	0.4	99.6
44	24119	24.9	25.2	24.9	25.0	0.0	38.8	33.7	0.3	99.7
45	24119	24.4	24.8	25.3	25.5	0.0	38.8	33.5	0.3	99.7
46	24119	25.0	25.0	26.0	24.0	0.0	38.7	32.8	0.3	99.7
47	24119	25.1	25.0	24.8	25.0	0.0	38.6	33.8	0.3	99.7
48	24119	24.6	25.7	24.6	25.1	0.0	38.4	33.2	0.3	99.7
49	24119	24.7	24.9	25.6	24.8	0.0	38.3	33.7	0.3	99.7
50	24119	25.1	25.2	25.1	24.6	0.0	38.2	33.9	0.2	99.8
51	24119	24.8	24.9	25.4	25.0	0.0	38.1	33.4	0.3	99.7
52	24119	24.7	25.3	25.7	24.4	0.0	37.9	32.6	0.4	99.6
53	24119	24.7	24.6	26.0	24.8	0.0	37.8	32.5	0.4	99.6
54	24119	24.5	25.3	25.6	24.6	0.0	37.7	32.1	0.4	99.6
55	24119	25.3	24.6	25.5	24.6	0.0	37.5	31.3	0.5	99.5
56	24119	24.9	24.8	25.4	24.9	0.0	37.4	31.6	0.5	99.5
57	24119	24.8	25.6	25.2	24.4	0.0	37.3	31.9	0.4	99.6
58	24119	25.0	25.3	25.5	24.2	0.0	37.1	31.8	0.4	99.6
59	24119	25.3	25.0	24.9	24.8	0.0	37.0	31.2	0.4	99.6
60	24119	24.6	25.3	25.6	24.5	0.0	36.9	31.0	0.4	99.6
61	24117	24.9	25.5	25.7	23.9	0.0	36.8	30.6	0.4	99.6
62	24109	24.8	25.0	25.4	24.7	0.0	36.6	30.5	0.4	99.6
63	24108	24.4	25.5	25.2	25.0	0.0	36.5	29.7	0.5	99.5
64	24096	25.1	25.1	25.7	24.1	0.0	36.4	30.5	0.5	99.5
65	24096	24.9	25.4	25.0	24.6	0.0	36.2	30.1	0.5	99.5
66	24091	24.9	25.0	25.5	24.6	0.0	36.1	30.4	0.5	99.5
67	24090	24.8	24.7	25.7	24.8	0.0	36.0	29.6	0.6	99.4
68	24081	25.1	24.8	25.1	24.9	0.0	35.9	30.5	0.6	99.4
69	24081	24.5	25.6	25.3	24.5	0.0	35.8	29.3	0.6	99.4
70	24068	25.0	24.7	25.9	24.5	0.0	35.6	28.3	0.8	99.2
71	24067	24.8	24.8	25.3	25.1	0.0	35.5	28.8	0.7	99.3
72	24053	24.8	25.6	24.9	24.7	0.0	35.4	29.5	0.6	99.4
73	24053	24.7	24.8	25.9	24.6	0.0	35.3	28.7	0.7	99.3
74	24038	25.4	24.7	25.3	24.6	0.0	35.3	30.0	0.6	99.4
75	24037	24.2	25.3	25.5	25.0	0.0	35.2	29.2	0.6	99.4
76	24025	25.3	25.1	26.0	23.7	0.0	34.8	29.1	0.7	99.3
77	24025	25.7	24.9	24.9	24.5	0.0	34.9	28.7	0.7	99.3
78	24010	24.8	25.4	24.7	25.1	0.0	34.9	29.3	0.7	99.3
79	24004	24.7	24.7	25.8	24.8	0.0	34.9	29.0	0.7	99.3
80	23989	25.2	25.4	24.9	24.4	0.0	34.8	29.5	0.6	99.4
81	23983	24.6	25.4	25.2	24.9	0.0	34.7	29.3	0.6	99.4
82	23967	24.9	25.0	25.7	24.4	0.0	34.7	29.4	0.7	99.3
83	23960	24.5	24.7	25.5	25.2	0.0	34.6	29.0	0.6	99.4
84	23937	24.6	25.6	25.3	24.5	0.0	34.6	28.8	0.7	99.3
85	23930	25.1	24.9	25.7	24.4	0.0	34.5	28.4	0.8	99.2
86	23898	25.1	25.1	24.8	25.0	0.0	34.4	28.7	0.7	99.3
87	23869	24.7	25.2	24.9	25.2	0.0	34.4	27.8	0.8	99.2
88	23822	24.9	25.2	25.5	24.4	0.0	34.4	28.4	0.7	99.3
89	23787	24.6	25.1	25.3	25.0	0.0	34.3	27.3	0.9	99.1
90	23693	24.4	26.0	25.3	24.4	0.0	34.3	27.9	0.8	99.2
91	23629	24.8	25.4	26.2	23.6	0.0	34.2	27.1	0.9	99.1
92	23509	24.8	24.9	25.5	24.8	0.0	34.2	28.0	0.8	99.2
93	23390	24.2	25.9	25.7	24.2	0.0	34.1	26.6	1.0	99.0
94	23171	24.2	25.7	25.8	24.3	0.0	34.2	27.3	0.9	99.1
95	22877	24.7	25.3	26.0	23.9	0.0	34.1	26.0	1.0	99.0
96	22370	23.5	26.7	25.5	24.2	0.0	34.1	26.4	0.9	99.1
97	21483	23.0	26.5	26.6	23.9	0.0	34.0	25.1	1.1	98.9
98	21413	23.1	26.6	26.6	23.6	0.0	34.1	25.8	0.9	99.1
99	21413	23.1	26.8	27.0	23.1	0.0	34.0	24.4	1.1	98.9
100	21330	23.8	26.6	26.7	22.9	0.0	34.0	24.6	1.0	99.0
101	21330	23.7	26.6	26.6	23.1	0.0	32.6	22.0	2.4	97.6
