min_len: 61; max_len: 101; avg_len: 100.17; 38 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
ALL	2340199	22.2	28.1	28.2	21.5	0.0	36.6	29.3	0.7	99.3
1	23363	22.6	36.3	29.4	11.6	0.0	33.4	31.1	0.4	99.6
2	23363	25.6	21.5	25.5	27.3	0.0	33.5	31.9	0.3	99.7
3	23363	21.1	26.6	21.8	30.4	0.0	33.6	31.9	0.2	99.8
4	23363	21.3	27.6	26.9	24.2	0.0	36.7	33.5	0.2	99.8
5	23363	23.9	25.5	29.1	21.5	0.0	36.7	34.5	0.2	99.8
6	23363	22.8	29.0	25.7	22.5	0.0	36.7	34.9	0.2	99.8
7	23363	22.1	27.0	29.2	21.7	0.0	36.7	35.4	0.1	99.9
8	23363	22.5	28.9	25.5	23.0	0.0	36.7	35.3	0.2	99.8
9	23363	21.8	28.3	26.8	23.2	0.0	38.6	34.9	0.3	99.7
10	23363	21.3	28.3	29.1	21.3	0.0	38.6	36.2	0.2	99.8
11	23363	23.2	27.2	27.4	22.2	0.0	38.5	35.3	0.2	99.8
12	23363	22.4	27.7	27.6	22.4	0.0	38.6	36.2	0.2	99.8
13	23363	21.4	29.2	28.4	20.9	0.0	38.5	35.1	0.3	99.7
14	23363	22.6	27.5	28.1	21.7	0.0	40.2	35.9	0.2	99.8
15	23363	22.2	28.0	27.6	22.2	0.0	40.2	35.9	0.2	99.8
16	23363	22.0	28.6	28.4	21.1	0.0	40.1	35.8	0.3	99.7
17	23363	22.6	27.6	28.2	21.5	0.0	40.1	36.2	0.3	99.7
18	23363	22.4	28.2	27.3	22.1	0.0	40.1	34.9	0.3	99.7
19	23363	22.3	28.2	28.7	20.9	0.0	40.1	36.6	0.2	99.8
20	23363	23.0	27.3	28.2	21.6	0.0	40.1	35.7	0.2	99.8
21	23363	23.1	28.1	27.2	21.5	0.0	40.1	36.5	0.2	99.8
22	23363	21.8	29.1	28.4	20.7	0.0	40.0	35.2	0.3	99.7
23	23363	22.9	27.6	28.3	21.2	0.0	40.0	36.3	0.2	99.8
24	23363	21.7	27.8	28.2	22.3	0.0	40.0	36.3	0.2	99.8
25	23363	21.6	28.3	29.2	20.9	0.0	39.9	35.5	0.2	99.8
26	23363	23.1	26.7	28.0	22.2	0.0	39.9	35.2	0.3	99.7
27	23363	22.2	27.9	27.6	22.3	0.0	39.8	34.0	0.3	99.7
28	23363	21.4	28.7	29.0	21.0	0.0	39.7	34.4	0.3	99.7
29	23363	21.9	27.6	28.4	22.0	0.0	39.6	33.7	0.3	99.7
30	23363	22.2	28.5	27.4	21.9	0.0	39.6	34.0	0.4	99.6
31	23363	21.5	28.8	28.8	20.8	0.0	39.5	34.4	0.3	99.7
32	23363	22.4	27.7	27.9	22.0	0.0	39.4	33.4	0.4	99.6
33	23363	22.6	27.6	27.3	22.5	0.0	39.3	33.5	0.4	99.6
34	23363	21.6	29.0	28.6	20.7	0.0	39.2	32.2	0.4	99.6
35	23363	22.9	27.3	28.1	21.7	0.0	39.1	32.4	0.5	99.5
36	23363	22.6	27.8	28.0	21.5	0.0	38.9	32.0	0.5	99.5
37	23363	21.8	28.5	28.7	21.0	0.0	39.0	32.1	0.4	99.6
38	23363	22.8	27.5	28.2	21.6	0.0	38.8	32.7	0.4	99.6
39	23363	22.0	28.0	27.7	22.3	0.0	38.7	32.1	0.5	99.5
40	23363	21.5	28.7	28.9	20.8	0.0	38.6	32.8	0.4	99.6
