min_len: 61; max_len: 101; avg_len: 100.17; 38 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%low	%high
41	23363	22.7	27.1	28.6	21.6	0.0	38.4	31.2	0.6	99.4
42	23363	21.4	28.6	27.8	22.3	0.0	38.3	31.8	0.5	99.5
43	23363	21.5	28.8	28.8	20.9	0.0	38.2	32.2	0.4	99.6
44	23363	23.0	27.7	28.2	21.2	0.0	38.1	32.2	0.5	99.5
45	23363	22.4	28.4	27.6	21.6	0.0	38.0	32.1	0.4	99.6
46	23363	21.6	28.3	29.1	21.0	0.0	37.8	32.6	0.4	99.6
47	23363	22.7	27.2	28.3	21.8	0.0	37.7	32.4	0.4	99.6
48	23363	22.0	28.2	27.7	22.1	0.0	37.5	32.5	0.4	99.6
49	23363	21.7	28.4	28.8	21.0	0.0	37.3	32.5	0.4	99.6
50	23363	22.3	27.9	28.3	21.5	0.0	37.2	32.2	0.4	99.6
51	23363	21.9	28.1	28.0	22.1	0.0	37.0	31.7	0.4	99.6
52	23363	21.6	28.7	28.7	21.0	0.0	36.8	30.9	0.5	99.5
53	23363	23.0	27.4	28.1	21.4	0.0	36.7	31.4	0.5	99.5
54	23363	22.0	28.1	27.7	22.2	0.0	36.5	31.1	0.5	99.5
55	23363	21.5	28.5	29.0	20.9	0.0	36.4	31.3	0.5	99.5
56	23363	22.5	27.8	28.4	21.4	0.0	36.2	30.9	0.6	99.4
57	23363	22.3	28.1	27.8	21.8	0.0	36.1	31.0	0.5	99.5
58	23363	21.6	28.7	28.8	21.0	0.0	36.0	30.0	0.6	99.4
59	23363	22.5	28.1	27.9	21.6	0.0	35.9	30.2	0.5	99.5
60	23363	22.1	28.5	27.3	22.1	0.0	35.7	29.0	0.7	99.3
61	23363	21.7	28.3	28.9	21.1	0.0	35.6	28.4	0.7	99.3
62	23342	22.8	27.3	28.3	21.6	0.0	35.5	29.1	0.7	99.3
63	23341	22.2	27.9	28.1	21.8	0.0	35.4	28.5	0.8	99.2
64	23320	21.5	28.9	28.6	21.1	0.0	35.3	28.7	0.7	99.3
65	23319	22.8	27.7	28.3	21.2	0.0	35.2	28.4	0.9	99.1
66	23306	22.5	28.0	27.5	22.0	0.0	35.1	28.7	0.8	99.2
67	23306	21.6	29.0	28.6	20.8	0.0	35.0	28.4	0.9	99.1
68	23293	22.6	27.2	28.1	22.1	0.0	35.0	28.8	0.9	99.1
69	23293	21.8	27.5	28.4	22.3	0.0	34.9	27.8	0.9	99.1
70	23277	21.9	28.3	29.1	20.7	0.0	34.7	27.5	1.1	98.9
71	23275	22.5	27.4	28.5	21.6	0.0	34.7	28.1	0.9	99.1
72	23260	22.2	27.8	27.8	22.2	0.0	34.6	27.7	1.1	98.9
73	23260	21.8	28.5	28.9	20.8	0.0	34.6	27.6	1.0	99.0
74	23243	22.5	27.2	28.6	21.6	0.0	34.5	27.8	1.0	99.0
75	23243	22.2	28.4	27.8	21.6	0.0	34.4	27.5	1.1	98.9
76	23221	21.6	28.6	29.3	20.6	0.0	34.2	28.6	0.9	99.1
77	23218	23.0	27.9	27.6	21.5	0.0	34.3	28.4	1.0	99.0
78	23205	22.0	28.3	27.6	22.1	0.0	34.3	27.8	1.0	99.0
79	23204	21.5	28.9	28.7	21.0	0.0	34.3	27.3	1.0	99.0
80	23180	22.7	27.6	28.3	21.4	0.0	34.3	28.0	1.0	99.0
81	23176	22.5	27.8	27.6	22.1	0.0	34.2	27.3	1.0	99.0
82	23148	21.6	28.8	29.3	20.3	0.0	34.2	28.3	0.9	99.1
83	23143	23.0	27.4	28.0	21.6	0.0	34.2	27.0	1.1	98.9
84	23122	22.4	28.1	28.0	21.6	0.0	34.1	27.5	1.0	99.0
85	23117	22.0	28.4	28.8	20.7	0.0	34.1	26.5	1.2	98.8
86	23078	22.6	28.0	27.9	21.5	0.0	34.0	26.9	1.1	98.9
87	23067	22.5	28.3	27.5	21.6	0.0	34.0	26.5	1.2	98.8
88	23019	21.7	28.6	28.7	21.1	0.0	34.0	27.7	1.1	98.9
89	23002	22.3	27.7	28.5	21.5	0.0	34.0	26.8	1.1	98.9
90	22953	22.6	28.1	27.8	21.6	0.0	34.0	27.1	1.1	98.9
91	22917	21.3	28.2	29.3	21.2	0.0	33.9	26.0	1.2	98.8
92	22810	22.7	28.0	28.3	21.0	0.0	33.9	26.6	1.1	98.9
93	22763	21.7	28.6	27.8	21.8	0.0	33.8	25.4	1.3	98.7
94	22597	21.5	28.9	29.2	20.3	0.0	33.8	26.3	1.2	98.8
95	22419	22.5	27.9	28.5	21.1	0.0	33.7	24.8	1.4	98.6
96	22044	21.7	29.2	28.0	21.1	0.0	33.8	25.4	1.3	98.7
97	21437	20.5	30.1	29.3	20.1	0.0	33.7	23.8	1.5	98.5
98	21340	22.0	28.1	29.0	20.9	0.0	33.8	24.8	1.3	98.7
99	21340	21.6	29.2	28.9	20.3	0.0	33.7	23.2	1.5	98.5
100	21229	20.9	29.5	29.8	19.8	0.0	33.7	23.7	1.2	98.8
101	21229	21.7	28.6	29.7	20.0	0.0	32.2	20.7	3.1	96.9
