File	Number of Sequences	Total bp	Shortest length	Longest length	N50	N75	AuN
SRR1237780_R1.fastq	25,000	2,525,000	101	101	101	101	101
SRR1237780_R2.fastq	25,000	2,525,000	101	101	101	101	101
SRR1237781_R2.fastq	25,000	2,525,000	101	101	101	101	101
SRR1237782_R1.fastq	25,000	2,525,000	101	101	101	101	101
SRR1237782_R2.fastq	25,000	2,525,000	101	101	101	101	101
SRR1237783_R1.fastq	25,000	2,525,000	101	101	101	101	101
SRR1237783_R2.fastq	25,000	2,525,000	101	101	101	101	101
